Scientific Name ▴,Fangs,Toxicity,Rating ?,Common name
Chilorhinophis gerardi,rear-fanged,venomous,?💀?,Congo Two headed Snake
Chilorhinophis butleri,rear-fanged,venomous,?💀?,Butler's Two headed Snake
Chilomeniscus stramineus,rear-fanged,unclear toxicity,???,Variable Sand Snake
Chilomeniscus savagei,rear-fanged,unclear toxicity,???,Savage's Sand Snake
Chilabothrus subflavus,non-fanged,non-venomous,🐍🐍🐍,Jamaican boa
Chilabothrus strigilatus,non-fanged,non-venomous,---,Haitian boa
Chilabothrus striatus,non-fanged,non-venomous,---,Hispaniolan boa
Chilabothrus monensis,non-fanged,non-venomous,---,Mona Island Boa
Chilabothrus inornatus,non-fanged,non-venomous,🐍🐍🐍,Puerto Rican boa
Chilabothrus granti,non-fanged,non-venomous,---,Virgin Islands boa
Chilabothrus gracilis,non-fanged,non-venomous,---,Hispaniola boa
Chilabothrus fordii,non-fanged,non-venomous,---,Ford’s Boa
Chilabothrus exsul,non-fanged,non-venomous,---,Abaco Island boa
Chilabothrus chrysogaster,non-fanged,non-venomous,---,Turk's Island boa
Chilabothrus argentum,non-fanged,non-venomous,---,Conception Bank silver boa
Chilabothrus angulifer,non-fanged,non-venomous,🐍🐍🐍,Cuban tree boa
Chersodromus rubriventris,rear-fanged,unclear toxicity,???,Redbelly Earth Runner
Chersodromus liebmanni,rear-fanged,unclear toxicity,???,Liebmann's Earth Runner
Charina umbratica,non-fanged,non-venomous,---,Southern Rubber Boa
Charina bottae,non-fanged,non-venomous,🐍,Rubber boa
Chapinophis xanthocheilus,rear-fanged,unclear toxicity,???,Guatemalan Yellow lipped Snake
Chamaelycus werneri,non-fanged,unclear toxicity,???,Werner's banded snake
Chamaelycus parkeri,non-fanged,unclear toxicity,???,Parker's Banded Snake
Chamaelycus fasciatus,non-fanged,unclear toxicity,???,African Banded Snake
Chamaelycus christyi,non-fanged,unclear toxicity,???,Christy's Banded Snake
Cerrophidion wilsoni,front-fanged,venomous,💀💀💀,Honduras montane pitviper
Cerrophidion tzotzilorum,front-fanged,venomous,💀💀💀,Tzotzil montane pitviper
Cerrophidion sasai,front-fanged,venomous,💀💀💀,Costa Rica montane pitviper
Cerrophidion petlalcalensis,front-fanged,venomous,💀💀💀,Petlalcala montane pitviper
Cerrophidion godmani,front-fanged,venomous,💀💀💀,Godman's montane pitviper
Cercophis auratus,rear-fanged,unclear toxicity,???,Schlegel's Golden Snake
Cerberus schneiderii,rear-fanged,venomous,?💀?,Southeast Asian Bockadam
Cerberus rynchops,rear-fanged,venomous,?💀?,New Guinea bockadam
Cerberus microlepis,rear-fanged,venomous,?💀?,Dog faced water snake
Cerberus dunsoni,rear-fanged,venomous,?💀?,Dunson's water snake
Cerberus australis,rear-fanged,venomous,?💀?,Australian bockadam
Cerastes vipera,front-fanged,venomous,💀💀💀,Sahara sand viper
Cerastes gasperettii,front-fanged,venomous,💀💀💀,Arabian horned viper
Cerastes cerastes,front-fanged,venomous,💀💀💀,Horned viper
Cerastes boehmei,front-fanged,venomous,💀💀💀,Böhme's Horned Viper
Cemophora lineri,rear-fanged,unclear toxicity,???,Texas scarlet snake
Cemophora coccinea,rear-fanged,unclear toxicity,???,Scarlet Snake
Causus rhombeatus,front-fanged,venomous,💀💀,Common Night Adder
Causus resimus,front-fanged,venomous,💀💀,Green night adder
Causus rasmusseni,front-fanged,venomous,💀💀💀,Rasmussen's night adder
Causus maculatus,front-fanged,venomous,💀💀💀,Forest rhombic night adder
Causus lichtensteinii,front-fanged,venomous,💀💀,Lichtenstein's Night Adder
Causus defilippii,front-fanged,venomous,💀💀,Snouted night adder
Causus bilineatus,front-fanged,venomous,💀💀,Lined night adder
Cathetorhinus melanocephalus,non-fanged,non-venomous,---,Black headed blind snake
Casarea dussumieri,non-fanged,non-venomous,---,Round Island Ground Boas
Carphophis vermis,rear-fanged,unclear toxicity,???,Western Worm Snake
Carphophis amoenus,rear-fanged,unclear toxicity,???,Eastern Wormsnake
Caraiba andreae,rear-fanged,unclear toxicity,???,Black and white racer
Cantoria violacea,rear-fanged,venomous,?💀?,
Candoia superciliosa,non-fanged,non-venomous,---,Palau bevel nosed boa
Candoia paulsoni,non-fanged,non-venomous,---,Solomon Island ground boa
Candoia carinata,non-fanged,non-venomous,🐍,Pacific Ground Boa
Candoia bibroni,non-fanged,non-venomous,🐍🐍,Pacific tree boa
Candoia aspera,non-fanged,non-venomous,🐍,Viper boa
Calloselasma rhodostoma,front-fanged,venomous,💀💀💀💀,Malayan pitviper
Calliophis salitan,front-fanged,venomous,💀💀💀💀,
Calliophis nigrescens,front-fanged,venomous,💀💀💀💀,Black Coral Snake
Calliophis melanurus,front-fanged,venomous,💀💀💀💀,Indian Coral Snake
Calliophis maculiceps,front-fanged,venomous,💀💀💀💀,Speckled coral snake
Calliophis intestinalis,front-fanged,venomous,💀💀💀💀,Banded Malaysian Coral Snake
Calliophis haematoetron,front-fanged,venomous,💀💀💀💀,Blood bellied coral snake
Calliophis gracilis,front-fanged,venomous,💀💀💀💀,Gray Coral Snake
Calliophis castoe,front-fanged,venomous,💀💀💀💀,Castoe’s coral snake
Calliophis bivirgatus,front-fanged,venomous,💀💀💀💀,Blue Malaysian Coral Snake
Calliophis bibroni,front-fanged,venomous,💀💀💀💀,Bibron's Slender Coral Snake
Calliophis beddomei,front-fanged,venomous,💀💀💀💀,Beddome's coral snake
Calamorhabdium kuekenthali,rear-fanged,unclear toxicity,???,Batjan Iridescent Snake
Calamorhabdium acuticeps,rear-fanged,unclear toxicity,???,Sulawesi Iridescent Snake
Calamophis sharonbrooksae,rear-fanged,unclear toxicity,???,Arfak Stout tailed Snake
Calamophis ruuddelangi,rear-fanged,unclear toxicity,???,Kebar Stout tailed Snake
Calamophis katesandersae,rear-fanged,unclear toxicity,???,Andian Stout tailed Snake
Calamophis jobiensis,rear-fanged,venomous,?💀?,Yapen Island Stout tailed Snake
Calamodontophis ronaldoi,rear-fanged,unclear toxicity,???,Ronaldo's Forest Snake
Calamodontophis paucidens,rear-fanged,unclear toxicity,???,Tropical Forest Snake
Calamaria yunnanensis,rear-fanged,unclear toxicity,???,Yunnan Reed Snake
Calamaria virgulata,rear-fanged,unclear toxicity,???,Boie's Dwarf Snake
Calamaria ulmeri,rear-fanged,unclear toxicity,???,Ulmer's Reed Snake
Calamaria thanhi,rear-fanged,unclear toxicity,???,Thanhs Zwergschlange
Calamaria sumatrana,rear-fanged,unclear toxicity,???,Sumatra Dwarf Snake
Calamaria suluensis,rear-fanged,unclear toxicity,???,Yellow bellied Reed Snake
Calamaria septentrionalis,rear-fanged,unclear toxicity,???,Hong Kong Dwarf Snake
Calamaria schmidti,rear-fanged,unclear toxicity,???,Schmidt's Reed Snake
Calamaria schlegeli,rear-fanged,unclear toxicity,???,White headed Reed Snake
Calamaria sangi,rear-fanged,unclear toxicity,???,Sang's reed snake
Calamaria rebentischi,rear-fanged,unclear toxicity,???,Rebentisch's Reed Snake
Calamaria prakkei,rear-fanged,unclear toxicity,???,Prakke’s Reed Snake
Calamaria pfefferi,rear-fanged,unclear toxicity,???,Pfeffer's reed snake
Calamaria pavimentata,rear-fanged,unclear toxicity,???,Collared Reed Snake
Calamaria palawanensis,rear-fanged,unclear toxicity,???,Palawan Worm Snake
Calamaria nuchalis,rear-fanged,unclear toxicity,???,Narrow headed Reed Snake
Calamaria muelleri,rear-fanged,unclear toxicity,???,Mueller’s Reed Snake
Calamaria modesta,rear-fanged,unclear toxicity,???,Yellow spotted Reed Snake
Calamaria melanota,rear-fanged,unclear toxicity,???,Kapuas Reed Snake
Calamaria mecheli,rear-fanged,unclear toxicity,???,Mechel's Reed Snake
Calamaria margaritophora,rear-fanged,unclear toxicity,???,Bleeker's Dwarf Snake
Calamaria lumholtzi,rear-fanged,unclear toxicity,???,Lumholz's Reed Snake
Calamaria lumbricoidea,rear-fanged,unclear toxicity,???,Variable Reed Snake
Calamaria lovii,rear-fanged,unclear toxicity,???,Lovi’s Reed Snake
Calamaria longirostris,rear-fanged,unclear toxicity,???,Long snouted Reed Snake
Calamaria linnaei,rear-fanged,unclear toxicity,???,Linne's Dwarf Snake
Calamaria leucogaster,rear-fanged,unclear toxicity,???,Ampat Lawang Dwarf Snake
Calamaria lautensis,rear-fanged,unclear toxicity,???,Cocos Island Reed Snake
Calamaria lateralis,rear-fanged,unclear toxicity,???,White striped Reed Snake
Calamaria joloensis,rear-fanged,unclear toxicity,???,Jolo Worm Snake
Calamaria javanica,rear-fanged,unclear toxicity,???,Javanese Reed Snake
Calamaria ingeri,rear-fanged,unclear toxicity,???,Tioman Reed Snake
Calamaria hilleniusi,rear-fanged,unclear toxicity,???,Samarinda Reed Snake
Calamaria griswoldi,rear-fanged,unclear toxicity,???,Lined Reed Snake
Calamaria gracillima,rear-fanged,unclear toxicity,???,Slender Reed Snake
Calamaria grabowskyi,rear-fanged,unclear toxicity,???,Grabowsky's Reed Snake
Calamaria gialaiensis,rear-fanged,unclear toxicity,???,Gia Lai reed snake
Calamaria gervaisii,rear-fanged,unclear toxicity,???,Philippine Dwarf Snake
Calamaria forcarti,rear-fanged,unclear toxicity,???,Forcart's Reed Snake
Calamaria everetti,rear-fanged,unclear toxicity,???,Everett's Reed Snake
Calamaria eiselti,rear-fanged,unclear toxicity,???,Eiselt's Reed Snake
Calamaria doederleini,rear-fanged,unclear toxicity,???,Döderlein's Reed Snake
Calamaria curta,rear-fanged,unclear toxicity,???,Dark bellied Reed Snake
Calamaria crassa,rear-fanged,unclear toxicity,???,Thick Reed Snake
Calamaria concolor,rear-fanged,unclear toxicity,???,Bach Ma Reed Snake
Calamaria ceramensis,rear-fanged,unclear toxicity,???,Seram Reed Snake
Calamaria butonensis,rear-fanged,unclear toxicity,???,Buton Reed Snake
Calamaria buchi,rear-fanged,unclear toxicity,???,Dalat Dwarf Snake
Calamaria brongersmai,rear-fanged,unclear toxicity,???,Brongersma’s Reed Snake
Calamaria borneensis,rear-fanged,unclear toxicity,???,Bornean Reed Snake
Calamaria boesemani,rear-fanged,unclear toxicity,???,Boeseman’s Reed Snake
Calamaria bitorques,rear-fanged,unclear toxicity,???,Luzon Dwarf Snake
Calamaria bicolor,rear-fanged,unclear toxicity,???,Two colored Dwarf Snake
Calamaria battersbyi,rear-fanged,unclear toxicity,???,Battersby's Reed Snake
Calamaria banggaiensis,rear-fanged,unclear toxicity,???,Banggai reed snake
Calamaria apraeocularis,rear-fanged,unclear toxicity,???,Apreocular Reed Snake
Calamaria alidae,rear-fanged,unclear toxicity,???,Bengkulu Reed Snake
Calamaria albiventer,rear-fanged,unclear toxicity,???,White bellied Reed Snake
Calamaria acutirostris,rear-fanged,unclear toxicity,???,Pointed Snout Reed Snake
Calamaria abstrusa,rear-fanged,unclear toxicity,???,Padang Reed Snake
Calamaria abramovi,rear-fanged,unclear toxicity,???,Mang Xang Reed Snake
Calabaria reinhardtii,non-fanged,non-venomous,🐍,Calabar ground boa
Cacophis squamulosus,front-fanged,venomous,💀💀,Golden crowned snake
Cacophis krefftii,front-fanged,venomous,💀💀,Dwarf crowned snake
Cacophis harriettae,front-fanged,venomous,💀💀,White crowned snake
Cacophis churchilli,front-fanged,venomous,💀💀,Northern dwarf crowned snake
Caaeteboia amarali,rear-fanged,unclear toxicity,???,Amaral's Ground Snake
Bungarus walli,front-fanged,venomous,💀💀💀💀,Wall's Sind Krait
Bungarus slowinskii,front-fanged,venomous,💀💀💀💀,Red river krait
Bungarus sindanus,front-fanged,venomous,💀💀💀💀,Sind krait
Bungarus persicus,front-fanged,venomous,💀💀💀💀,Persian Krait
Bungarus niger,front-fanged,venomous,💀💀💀💀,Greater black krait
Bungarus multicinctus,front-fanged,venomous,💀💀💀💀,Many banded krait
Bungarus magnimaculatus,front-fanged,venomous,💀💀💀💀,Burmese krait
Bungarus lividus,front-fanged,venomous,💀💀💀💀,Lesser black krait
Bungarus flaviceps,front-fanged,venomous,💀💀💀💀,Red headed krait
Bungarus fasciatus,front-fanged,venomous,💀💀💀💀,Banded krait
Bungarus ceylonicus,front-fanged,venomous,💀💀💀💀,Sri Lankan krait
Bungarus candidus,front-fanged,venomous,💀💀💀💀,Blue krait
Bungarus caeruleus,front-fanged,venomous,💀💀💀💀,Indian krait
Bungarus bungaroides,front-fanged,venomous,💀💀💀💀,Northeastern hill krait
Bungarus andamanensis,front-fanged,venomous,💀💀💀💀,South Andaman krait
Buhoma vauerocegae,rear-fanged,unclear toxicity,???,Usambara forest snake
Buhoma procterae,rear-fanged,unclear toxicity,???,Uluguru forest snake
Buhoma depressiceps,rear-fanged,unclear toxicity,???,Pale headed forest snake
Brygophis coulangesi,rear-fanged,unclear toxicity,???,Fiherenana White spotted Snake
Brachyurophis semifasciatus,front-fanged,venomous,?💀?,Southern shovel nosed snake
Brachyurophis roperi,front-fanged,venomous,?💀?,Northern Shovel nosed Snake
Brachyurophis morrisi,front-fanged,venomous,?💀?,Arnhem shovel nosed snake
Brachyurophis incinctus,front-fanged,venomous,?💀?,Unbanded Shovel nosed Snake
Brachyurophis fasciolatus,front-fanged,venomous,?💀?,Narrow banded shovel nosed snake
Brachyurophis campbelli,front-fanged,venomous,?💀?,Campbell's Shovel nosed Snake
Brachyurophis australis,front-fanged,venomous,?💀?,Australian Coral Snake
Brachyurophis approximans,front-fanged,venomous,💀💀,North western Shovel nosed Snake
Brachyorrhos wallacei,rear-fanged,unclear toxicity,???,Halmahera Short tailed Snake
Brachyorrhos raffrayi,rear-fanged,unclear toxicity,???,Ternate Short tailed Snake
Brachyorrhos gastrotaenius,rear-fanged,unclear toxicity,???,Buru Short tailed Snake
Brachyorrhos albus,rear-fanged,venomous,?💀?,Seram Short tailed Snake
Brachyophis revoili,rear-fanged,venomous,?💀?,Revoil's short snake
Bothrops venezuelensis,front-fanged,venomous,💀💀💀💀,Venezuela Lancehead
Bothrops taeniatus,front-fanged,venomous,💀💀💀💀,Speckled forest pitviper
Bothrops sazimai,front-fanged,venomous,💀💀💀💀,Franceses island lancehead
Bothrops sanctaecrucis,front-fanged,venomous,💀💀💀💀,Bolivian lancehead
Bothrops rhombeatus,front-fanged,venomous,💀💀💀💀,Cauca Valley Yellow Lancehead
Bothrops punctatus,front-fanged,venomous,💀💀💀💀,Opossum Tailed Lancehead
Bothrops pulchra,front-fanged,venomous,💀💀💀💀,Andean forest pitviper
Bothrops pubescens,front-fanged,venomous,💀💀💀💀,Pampas Lancehead
Bothrops pirajai,front-fanged,venomous,💀💀💀💀,Piraja's lancehead
Bothrops pictus,front-fanged,venomous,💀💀💀💀,Desert lancehead
Bothrops pauloensis,front-fanged,venomous,💀💀💀💀,Black faced Lancehead
Bothrops otavioi,front-fanged,venomous,💀💀💀💀,Vitória Island lancehead
Bothrops osbornei,front-fanged,venomous,💀💀💀💀,Osborne's lancehead
Bothrops oligolepis,front-fanged,venomous,💀💀💀💀,Inca Forest Pit viper
Bothrops neuwiedi,front-fanged,venomous,💀💀💀💀,Neuwied's lancehead
Bothrops muriciensis,front-fanged,venomous,💀💀💀💀,Murici lancehead
Bothrops moojeni,front-fanged,venomous,💀💀💀💀,Brazilian lancehead
Bothrops medusa,front-fanged,venomous,💀💀💀💀,Venezuela Forest Pit viper
Bothrops matogrossensis,front-fanged,venomous,💀💀💀💀,Mato Grosso Lanzenotter
Bothrops marmoratus,front-fanged,venomous,💀💀💀💀,Marbled lancehead
Bothrops marajoensis,front-fanged,venomous,💀💀💀💀,Marajó lancehead
Bothrops lutzi,front-fanged,venomous,💀💀💀💀,Lutz Lancehead
Bothrops lojanus,front-fanged,venomous,💀💀💀💀,Lojan lancehead
Bothrops leucurus,front-fanged,venomous,💀💀💀💀,Whitetail lancehead
Bothrops lanceolatus,front-fanged,venomous,💀💀💀💀,Martinique lancehead
Bothrops jonathani,front-fanged,venomous,💀💀💀💀,Cochabamba lancehead
Bothrops jararacussu,front-fanged,venomous,💀💀💀💀,Jararacussu
Bothrops jararaca,front-fanged,venomous,💀💀💀💀,Jararaca
Bothrops itapetiningae,front-fanged,venomous,💀💀💀💀,São Paulo lancehead
Bothrops insularis,front-fanged,venomous,💀💀💀💀,Golden lancehead viper
Bothrops fonsecai,front-fanged,venomous,💀💀💀💀,Fonseca's lancehead
Bothrops erythromelas,front-fanged,venomous,💀💀💀💀,Caatinga lancehead
Bothrops diporus,front-fanged,venomous,💀💀💀💀,Chaco lancehead
Bothrops cotiara,front-fanged,venomous,💀💀💀💀,Cotiara
Bothrops chloromelas,front-fanged,venomous,💀💀💀💀,Green black Lancehead
Bothrops caribbaeus,front-fanged,venomous,💀💀💀💀,Saint Lucia lancehead
Bothrops brazili,front-fanged,venomous,💀💀💀💀,Brazil's lancehead
Bothrops bilineatus,front-fanged,venomous,💀💀💀💀,Two striped forest pitviper
Bothrops barnetti,front-fanged,venomous,💀💀💀💀,Barnett's lancehead
Bothrops ayerbei,front-fanged,venomous,💀💀💀💀,Ayerbe's Lancehead
Bothrops atrox,front-fanged,venomous,💀💀💀💀,Common lancehead
Bothrops asper,front-fanged,venomous,💀💀💀💀,Terciopelo
Bothrops ammodytoides,front-fanged,venomous,💀💀💀💀,Patagonian lancehead
Bothrops alternatus,front-fanged,venomous,💀💀💀💀,Urutú
Bothrops alcatraz,front-fanged,venomous,💀💀💀💀,Alcatrazes lancehead
Bothrophthalmus lineatus,non-fanged,unclear toxicity,???,Red Black Striped Snake
Bothrophthalmus brunneus,non-fanged,unclear toxicity,???,Brown Loreal pitted Wolf Snake
Bothrolycus ater,non-fanged,unclear toxicity,???,Günther's Black Snake
Bothrocophias myersi,front-fanged,venomous,💀💀💀💀,Chocoan Toadheaded Pit viper
Bothrocophias microphthalmus,front-fanged,venomous,💀💀💀💀,Cuatro Narices
Bothrocophias hyoprora,front-fanged,venomous,💀💀💀💀,Hognose Lancehead
Bothrocophias colombianus,front-fanged,venomous,💀💀💀💀,Colombian Lancehead
Bothrocophias campbelli,front-fanged,venomous,💀💀💀💀,Ecuadorian toad headed pitviper
Bothrocophias andianus,front-fanged,venomous,💀💀💀💀,Andean lancehead
Bothrochilus montanus,non-fanged,non-venomous,?🐍?,Bennett's white lipped python
Bothrochilus meridionalis,non-fanged,non-venomous,🐍🐍🐍,Southern white lipped python
Bothrochilus huonensis,non-fanged,non-venomous,🐍,Huon white lipped python
Bothrochilus fredparkeri,non-fanged,non-venomous,🐍🐍,Parker's Python
Bothrochilus boa,non-fanged,non-venomous,🐍🐍,Bismarck ringed python
Bothrochilus biakensis,non-fanged,non-venomous,🐍🐍,Biak Island White Lipped Python
Bothrochilus albertisii,non-fanged,non-venomous,🐍🐍,White lipped python
Bothriechis thalassinus,front-fanged,venomous,💀💀💀,Merendon palm pitviper
Bothriechis supraciliaris,front-fanged,venomous,💀💀💀,Blotched palm pitviper
Bothriechis schlegelii,front-fanged,venomous,💀💀💀,Eyelash palm pitviper
Bothriechis rowleyi,front-fanged,venomous,💀💀💀,Mexican palm pitviper
Bothriechis nubestris,front-fanged,venomous,💀💀💀,Talamancan palm pitviper
Bothriechis nigroviridis,front-fanged,venomous,💀💀💀,Black speckled palm pitviper
Bothriechis marchi,front-fanged,venomous,💀💀💀,Hondura palm pitviper
Bothriechis lateralis,front-fanged,venomous,💀💀💀,Side striped palm viper
Bothriechis guifarroi,front-fanged,venomous,💀💀💀,Guifarro's palm pitviper
Bothriechis bicolor,front-fanged,venomous,💀💀💀,Guatemala Palm Pit Viper
Bothriechis aurifer,front-fanged,venomous,💀💀💀,Yellow blotched palm pitviper
Borikenophis variegatus,rear-fanged,unclear toxicity,???,Puerto Rican Racer
Borikenophis sanctaecrucis,rear-fanged,unclear toxicity,???,St. Croix Racer
Borikenophis portoricensis,rear-fanged,unclear toxicity,???,Puerto Rican Racer
Bolyeria multocarinata,non-fanged,non-venomous,---,Round Island Burrowing Boa
Boiruna sertaneja,rear-fanged,venomous,💀💀,Sertão Mussurana
Boiruna maculata,rear-fanged,venomous,💀💀,Mussurana
Boiga wallachi,rear-fanged,venomous,💀💀,Nicobar cat snake
Boiga trigonata,rear-fanged,venomous,💀💀,Indian gamma snake
Boiga tanahjampeana,rear-fanged,venomous,💀💀,Tanahjampea Cat Snake
Boiga siamensis,rear-fanged,venomous,💀💀,Gray Cat Snake
Boiga schultzei,rear-fanged,venomous,💀💀,Schultz' Blunt headed Tree Snake
Boiga saengsomi,rear-fanged,venomous,💀💀,Banded Green Cat Snake
Boiga quincunciata,rear-fanged,venomous,💀💀,Assamese Cat Snake
Boiga philippina,rear-fanged,venomous,💀💀,Tawny Cat Eyed Snake
Boiga ochracea,rear-fanged,venomous,💀💀,Tawny cat snake
Boiga nuchalis,rear-fanged,venomous,💀💀,Collared Cat Snake
Boiga nigriceps,rear-fanged,venomous,💀💀,Black headed cat snake
Boiga multomaculata,rear-fanged,venomous,💀💀,Many spotted Cat Snake
Boiga multifasciata,rear-fanged,venomous,💀💀,Many banded tree snake
Boiga kraepelini,rear-fanged,venomous,💀💀,Kelung Cat Snake
Boiga jaspidea,rear-fanged,venomous,💀💀,Jasper cat snake
Boiga irregularis,rear-fanged,venomous,💀💀💀,Brown tree snake
Boiga hoeseli,rear-fanged,venomous,💀💀,Lesser Sundas Cat Snake
Boiga guangxiensis,rear-fanged,venomous,💀💀,Guangxi Cat Snake
Boiga gokool,rear-fanged,venomous,💀💀,Arrowback tree snake
Boiga forsteni,rear-fanged,venomous,💀💀,Forsten's cat snake
Boiga flaviviridis,rear-fanged,venomous,💀💀,Yellow green cat snake
Boiga drapiezii,rear-fanged,venomous,💀💀,White spotted cat snake
Boiga dightoni,rear-fanged,venomous,💀💀,Pirmad cat snake
Boiga dendrophila,rear-fanged,venomous,💀💀,Mangrove snake
Boiga cynodon,rear-fanged,venomous,💀💀,Dog toothed cat snake
Boiga cyanea,rear-fanged,venomous,💀💀,Green Cat Snake
Boiga ceylonensis,rear-fanged,venomous,💀💀,Sri Lanka Cat Snake
Boiga bourreti,rear-fanged,venomous,💀💀,Bourret's Cat Snake
Boiga bengkuluensis,rear-fanged,venomous,💀💀,Bengkulu Cat Snake
Boiga beddomei,rear-fanged,venomous,💀💀,Beddome's cat snake
Boiga barnesii,rear-fanged,venomous,💀💀,Barnes' cat snake
Boiga angulata,rear-fanged,venomous,💀💀,Philippine Blunt headed Tree Snake
Boiga andamanensis,rear-fanged,venomous,💀💀,Andaman cat snake
Bogertophis subocularis,rear-fanged,unclear toxicity,???,Trans Pecos Rat Snake
Bogertophis rosaliae,rear-fanged,unclear toxicity,???,Baja California Rat Snake
Boa imperator,non-fanged,non-venomous,---,Imperator boa
Boa constrictor,non-fanged,non-venomous,🐍🐍🐍,Boa constrictor
Boaedon virgatus,non-fanged,unclear toxicity,???,Dark bellied House Snake
Boaedon upembae,non-fanged,unclear toxicity,???,Eastern Congo White bellied Water Snake
Boaedon subflavus,non-fanged,unclear toxicity,???,Yellow house snake
Boaedon radfordi,non-fanged,unclear toxicity,???,Radford’s house snake
Boaedon perisilvestris,non-fanged,unclear toxicity,???,Boaedon périforestier
Boaedon paralineatus,non-fanged,unclear toxicity,???,Central African lined house snake
Boaedon olivaceus,non-fanged,unclear toxicity,???,Olive House Snake
Boaedon maculatus,non-fanged,unclear toxicity,???,Somali house Snake
Boaedon longilineatus,non-fanged,unclear toxicity,???,Long lined house snake
Boaedon littoralis,non-fanged,unclear toxicity,???,Coastal House Snake
Boaedon lineatus,non-fanged,unclear toxicity,???,Striped House Snake
Boaedon fuliginosus,non-fanged,non-venomous,---,Brown House Snake
Boaedon capensis,non-fanged,unclear toxicity,???,Brown House Snake
Blythia reticulata,rear-fanged,unclear toxicity,???,Blyth's Reticulate Snake
Blythia hmuifang,rear-fanged,unclear toxicity,???,Mizoram Ground Snake
Bitis xeropaga,front-fanged,venomous,💀💀💀,Desert Mountain adder
Bitis worthingtoni,front-fanged,venomous,💀💀💀,Kenya horned viper
Bitis schneideri,front-fanged,venomous,💀💀💀,Namaqua dwarf adder
Bitis rubida,front-fanged,venomous,💀💀💀💀,Red adder
Bitis rhinoceros,front-fanged,venomous,💀💀💀💀,West African gaboon viper
Bitis peringueyi,front-fanged,venomous,💀💀💀,Sidewinding adder
Bitis parviocula,front-fanged,venomous,💀💀💀,Ethiopian mountain adder
Bitis nasicornis,front-fanged,venomous,💀💀💀💀,Rhinoceros viper
Bitis inornata,front-fanged,venomous,💀💀💀,Hornless adder
Bitis heraldica,front-fanged,venomous,💀💀💀,Angolan adder
Bitis harenna,front-fanged,venomous,💀💀💀💀,Bale Mountains adder
Bitis gabonica,front-fanged,venomous,💀💀💀💀,Central African gaboon viper
Bitis cornuta,front-fanged,venomous,💀💀💀,Western many horned adder
Bitis caudalis,front-fanged,venomous,💀💀💀,Horned puff adder
Bitis atropos,front-fanged,venomous,💀💀💀,Cape mountain adder
Bitis armata,front-fanged,venomous,💀💀💀,Southern adder
Bitis arietans,front-fanged,venomous,💀💀💀💀,Puff adder
Bitis albanica,front-fanged,venomous,💀💀💀💀,Albany adder
Bitia hydroides,rear-fanged,venomous,?💀?,Gray's Water Snake
Bamanophis dorri,rear-fanged,unclear toxicity,???,Dorr's Racer
Balanophis ceylonensis,rear-fanged,venomous,💀💀💀,Blossom Krait
Azemiops kharini,front-fanged,venomous,💀💀💀,White headed Fea Viper
Azemiops feae,front-fanged,venomous,💀💀💀,Fea's viper
Austrelaps superbus,front-fanged,venomous,💀💀💀💀,Lowland copperhead
Austrelaps ramsayi,front-fanged,venomous,💀💀💀💀,Highlands copperhead
Austrelaps labialis,front-fanged,venomous,💀💀💀,Pygmy Copperhead
Atropoides picadoi,front-fanged,venomous,💀💀💀,Picado's jumping pitviper
Atropoides olmec,front-fanged,venomous,💀💀💀,Olmecan pitviper
Atropoides occiduus,front-fanged,venomous,💀💀💀,Jumping Pit viper
Atropoides nummifer,front-fanged,venomous,💀💀💀,Central American jumping pitviper
Atropoides mexicanus,front-fanged,venomous,💀💀💀,Mexican jumping pitviper
Atropoides indomitus,front-fanged,venomous,💀💀💀,Honduras jumping pitviper
Atretium yunnanensis,rear-fanged,unclear toxicity,???,Yunnan Olive Keelback
Atretium schistosum,rear-fanged,non-venomous,---,Olive keelback wart snake
Atractus zidoki,rear-fanged,unclear toxicity,???,Zidok's Ground Snake
Atractus zebrinus,rear-fanged,unclear toxicity,???,Zebra Spindle Snake
Atractus werneri,rear-fanged,unclear toxicity,???,Werner's Ground Snake
Atractus wagleri,rear-fanged,unclear toxicity,???,Wagler's Ground Snake
Atractus vittatus,rear-fanged,unclear toxicity,???,Venezuelan Striped Spindle Snake
Atractus vertebrolineatus,rear-fanged,unclear toxicity,???,Striped Ground Snake
Atractus vertebralis,rear-fanged,unclear toxicity,???,Vertebral Ground Snake
Atractus ventrimaculatus,rear-fanged,unclear toxicity,???,Speckled Ground Snake
Atractus variegatus,rear-fanged,unclear toxicity,???,Variegated Ground Snake
Atractus typhon,rear-fanged,unclear toxicity,???,Typhon Spindle Snake
Atractus turikensis,rear-fanged,unclear toxicity,???,Turik Mesa Spindle Snake
Atractus trivittatus,rear-fanged,unclear toxicity,???,Three banded Ground Snake
Atractus trilineatus,rear-fanged,unclear toxicity,???,Three lined Ground Snake
Atractus trihedrurus,rear-fanged,unclear toxicity,???,Southern Ground Snake
Atractus touzeti,rear-fanged,unclear toxicity,???,Touzet's ground snake
Atractus torquatus,rear-fanged,unclear toxicity,???,Neckband Ground Snake
Atractus titanicus,rear-fanged,unclear toxicity,???,Titan Spindle Snake
Atractus thalesdelemai,rear-fanged,unclear toxicity,???,Passo Fundo Spindle Snake
Atractus tartarus,rear-fanged,unclear toxicity,???,Pará ground snake
Atractus taphorni,rear-fanged,unclear toxicity,???,La Carbonera Spindle Snake
